,gam,gam_arima,gam_arima2,gam_sa,kal_gam_static,kal_gam_dyn_gs,kal_gam_dyn_em,kal_gam_dyn_big,rf,rf_arima,gb,gb_arima
50,44836.4513944269,41884.964809213256,44253.321382686,39185.0378614462,44033.79539533261,41993.40786845818,41821.371019687336,40261.32940482287,42993.16854166666,42137.81874606916,42869.92178804433,41489.83651027205
51,44610.4773502613,41658.5518525231,43772.2670206398,39376.0105914334,43971.92359398077,42020.44911229215,42145.30536415585,42014.090380925954,42860.74145833335,42087.522304143975,43518.23056037159,42482.30763234883
52,44147.5796948678,41849.559445390805,43091.8919504349,38981.0412894216,43748.50945170099,41799.04919549109,41934.83138764087,41834.2765807898,42949.49145833334,41850.39833587455,43244.76223277442,41779.89668731569
53,38458.8390924705,37376.4985392409,37774.4965435394,33850.5076986306,42664.9732985382,40796.17952629029,41026.585623030245,41368.07229073157,39644.96833333332,39345.18817277904,37462.02834243379,35954.02656246832
54,36609.141746801,36970.20975465379,36609.5705441939,36609.141746801,36095.2485539748,34658.712571322525,35732.11899646692,35594.48676713485,37038.20395833333,35879.68042304723,38933.66979779054,38198.61266046551
55,36146.6490386595,34857.371167445686,36191.4392578384,36092.0282711445,35703.51391813799,34500.50663458299,36063.65026058491,36798.90708660837,36414.63541666667,35358.75631502722,37374.72373488144,35781.75278572955
56,44352.5113614289,43502.79685842443,44168.9678414334,36889.9033450951,44862.80994417019,42765.30660285025,41152.798543310695,42033.06952529229,44657.37354166668,43891.096711220336,44009.57986719609,42713.89348625267
57,47485.7934287174,45911.28402274514,47081.2629852048,41834.3798957367,47730.98035636919,45945.04812637424,44966.53217310385,42894.830820445,45231.162500000006,43953.23583664729,47274.11349079107,45966.94091004034
58,48617.7220132756,46048.7714123686,47965.0348190779,43383.2552544477,47719.894966047694,45907.106017165206,44910.44272957556,44308.65097756843,46012.78270833333,45246.89268932693,47094.70655289888,45570.728176262855
59,48690.0291309682,46367.18288044806,47937.0564511132,43523.4907255221,47797.45619588168,46018.23999996908,45506.72770249,45904.74835530092,47170.82124999999,46470.41006828239,46722.28697910324,45653.77283264378
60,47238.797779168,46309.49513701027,46702.8476900314,42630.4663853281,46619.25316029673,44947.92248758471,44778.79902683784,45437.18899373077,43753.06854166668,43146.22946597562,45447.74668197761,44310.00322689154
61,41266.5646052738,41416.826866169424,40828.879600951,41266.5646052738,41068.85002789493,40122.47466016955,41089.47202649134,42254.251685328665,42056.33708333337,42223.0042979914,41540.42819176976,40752.34066209834
62,38566.6501888223,38258.51444699054,38261.4460604501,38512.0294213074,38356.57061101333,37445.76645338423,38613.010876780405,39930.07177806591,37812.996458333335,36674.1381721789,38830.97919269749,37730.290584082606
63,44501.4892413278,42568.68615798058,44291.2377499984,37038.881224994,44123.82827881623,42006.753699353336,42527.3268329758,40736.68051473825,43980.22708333334,43787.33096183887,43797.59350533332,42525.74154453261
64,45002.3416571759,42534.157907711175,44447.7243277995,39350.9281241952,44833.60017526553,42888.466976087206,42564.25551637097,40046.831319848025,43377.59874999999,42442.36693455807,44108.253468807445,42834.7370122471
65,44834.7460098344,42946.47467719852,44063.8718945724,39600.2792510066,44782.294753368864,42839.18216522799,42453.83447912483,42085.15306831753,45054.28895833335,44312.94197600904,45125.94317679995,43845.974354099046
66,40272.134723989,37840.775065228176,39437.2503102828,35105.5963185428,44737.513201976166,42742.43435546891,42270.59439787613,42169.85891078326,41012.991666666654,39727.87263280585,40480.961491501774,38570.44289518669
67,42168.7316185873,39873.40004501852,41488.5303899786,37560.4002247474,41498.022605559294,39191.47104559651,37501.07477364267,37514.31077162971,43156.743125,40871.316298541664,43365.90339367278,41153.90626840144
68,37323.4488883305,35786.60911542192,36686.6249132058,37323.4488883305,37221.54310711906,35668.812493735175,35370.253261819234,36465.90514142106,38265.05854166667,35833.00410599669,39728.62878483761,36827.56576097632
69,36395.7850802324,35246.284483631025,36157.235915941,36341.1643127174,36077.15606526626,34757.48902269514,35909.82818755573,37605.8474613697,36365.18583333334,34619.60094804363,37907.085350399815,35349.8432332548
70,43114.1684386186,40536.08358760303,42845.5347658921,35651.5604222849,42377.350962468,39884.96832594636,38832.17618075214,39194.73893048439,42865.43979166666,41315.36204721831,42906.48950764105,40310.21013274971
71,44516.3834630778,42238.4599716656,44105.0953669713,38864.9699300971,43950.79242563286,41792.990762511065,41437.974323930175,39582.96169267295,42706.97083333332,40544.41521262893,43005.50677803816,40661.72878956086
72,44618.4594677581,42036.94300159323,43952.462148402,39383.9927089302,44100.91199191601,42056.62726414313,41944.60866019547,42026.02236840975,42747.13208333332,41051.31854007111,43037.47291156543,41258.07237252616
73,44264.1248508951,41677.617150856415,43514.1718331925,39097.5864454489,43848.15658329408,41874.15703540525,41942.1390334972,42515.33475816053,40753.82187500003,39307.20259894038,42268.874784930376,40636.33139820572
74,43770.901459758,42102.927497599885,43173.974689428,39162.5700659181,43335.95135924453,41520.1211159357,41843.7899005873,42084.76671790751,40828.88729166668,41033.61091931494,42114.72247202619,41278.77680241965
75,38672.3252849322,37658.225415391375,38423.4389200054,38672.3252849322,38514.26961043703,37502.729666767016,38085.921227364255,39307.22940198824,39080.13791666668,39173.28389503036,39757.67645719584,38990.95927802447
76,31865.0805833905,30817.617546746744,31553.1587813717,31810.4598158756,36426.243855858986,35513.53294902845,36589.581820178086,38172.84143702604,36174.30354166668,35341.96702426679,36730.75576548596,35466.19629448235
77,38394.6946931487,39162.791622614175,38919.1023169218,30932.0866768148,42509.08661078893,40398.240525796245,41545.68452840944,40150.49792148864,39747.48083333331,39330.14040682722,38834.20277557476,37771.79728671361
78,42718.683666405,40452.50007765866,42749.9823022754,37067.2701334243,42279.402619141714,40140.89251398816,38621.57572991536,36394.58040897811,42639.17479166666,41702.38268964098,42539.24976014571,41433.47922913433
79,44670.2538735929,43118.39448393191,44735.9637265004,39435.787114765,44395.94111408551,42475.22457124434,42260.96311529576,41736.84125389589,42779.45541666666,43176.79661346779,43104.82122212367,42823.90034247598
80,44826.9307015415,43798.33789589168,44362.3613688182,39660.3922960954,44796.92255301275,43003.28009837026,43330.15619323604,43693.20029238092,43132.70416666667,43417.35787469297,43193.67195443318,43003.060948195234
81,44517.2258543442,42760.02860050255,44054.4565265526,39908.8944605043,44374.76410595624,42783.89110469021,43315.37572884607,43760.89644952533,43280.32645833334,43013.82045730431,43660.75941982655,43391.08764623711
82,39762.7409440457,38708.21704937936,39495.0711354583,39762.7409440457,39500.49570424391,38758.85431653178,39634.06470094236,41332.50938814873,41015.15437500001,40664.28108829301,40293.58921048327,39931.81706578334
83,37875.5140401829,37940.204855906086,38210.1027341717,37820.893272668,37522.76963341359,36901.48598184944,37828.587770226935,39693.06145858138,37152.92291666667,35767.79056360107,38804.89697630966,38019.30169342524
84,44424.7131651772,43564.51237782267,44171.170805276,36962.1051488434,43742.46925738848,41943.32481547216,42918.6555772158,41229.28352916344,44498.07520833332,44477.71555188013,43054.54357263894,42222.40941697673
85,46216.6201040182,45089.2792097663,45948.3691153915,40565.2065710375,45490.24948763928,43976.35255281856,44220.51128368372,41267.36322483864,43634.67604166668,43152.32585859572,44563.5807078373,44272.50479860816
86,46405.8390874134,44770.43371096284,45953.8922773486,41171.3723285855,45761.8809454525,44339.59432261917,44546.015315616925,43943.70778047355,43786.865208333336,44085.776192060206,44452.55527772776,44228.31637301712
87,46396.7667418575,44659.72319702422,46056.3466552545,41230.2283364114,45716.30623229923,44340.26985131003,44609.09437722364,44543.67695633383,43990.63395833333,44140.58354569219,45187.16147139448,45032.900167895925
88,45659.9857339595,44020.4562418424,45352.127455387,41051.6543401196,44974.37966742672,43733.37359339999,44008.62553436043,44245.13691797729,43589.62229166666,43422.82083195404,44534.77955704635,43998.35207770015
89,40326.5015459301,39022.02265858608,39938.135679229,40326.5015459301,39876.01783167181,39445.179403210364,39451.2197766666,41574.62002989946,41064.32479166667,41299.20296576344,40037.18199689582,39578.36824930897
90,37897.0825869237,36780.57240008764,37535.03443564,37842.4618194088,37430.54663979354,37070.82201001222,37518.850773203405,39716.89198367605,37259.30500000001,36465.50804656207,38263.01345929058,37941.157256106526
91,44562.9349878958,43337.97140765182,44403.7685765504,37100.326971562,43748.06377450962,42216.93094191317,43378.765738043534,42012.0308851631,43004.67000000001,43345.92224722997,43825.88970607512,43317.79145697379
92,45750.5058162354,44378.9483452149,45483.7609161544,40099.0922832548,45166.88205610623,43905.94091917684,44146.12784664867,41239.79487469589,43289.96625000001,43726.12198878809,44062.74075528339,43678.446571190754
93,45824.4946847299,44384.554681005575,45503.999222028,40590.027925902,45359.46152057034,44205.05826120939,44425.81500179148,44082.55528213639,43521.13625000002,44274.16631540132,44229.91330705148,44123.19995313648
94,45800.121875215,44439.30819579667,45394.983875083,40633.5834697688,45355.40520631196,44250.1976576752,44502.62333829983,44509.0406932468,43619.40291666668,44143.47596321612,44167.58703957098,44145.55080169143
95,45165.0866065517,43861.2325651722,44827.9500830479,40556.7552127118,44716.32899030743,43742.22048024238,43938.40888694067,44146.26537979323,43563.926666666666,43721.078979891725,43762.3699301361,43788.0953118771
96,39871.523502238,38878.885386095615,39575.7998944098,39871.523502238,39696.95564816682,39496.84655860688,39204.64631077265,41068.60698395614,40734.269375,41145.10011543077,39948.48640761374,39908.57812108921
97,37790.4108053617,36817.47651063245,37623.021377554,37735.7900378467,37457.08780624755,37321.93962087511,37574.947507433055,39792.55085474157,37231.177708333336,37072.16635979815,38263.01345929058,38076.07091983276
98,44472.8923914621,43616.37227147352,44339.2980450269,37010.2843751283,43892.145581579134,42600.712791166006,43603.41626390743,42688.79733320657,43337.13354166669,43729.914368904,43530.81670402666,43155.42195501918
99,46259.6355414916,45511.2591147502,46062.9145206635,40608.222008511,46101.26938705516,45096.06250278876,45145.52297819954,42206.66262316548,43929.33958333336,44363.33966472512,44688.37334208884,44640.51467102059
100,47065.4355886362,46113.11944010119,46770.8982871071,41830.9688298084,47005.762570049286,46082.43739084687,45868.30070507457,45425.73180964159,45109.69854166667,45834.74373591208,46159.57908256806,46289.49458098088
101,47480.4818156987,46431.0461381621,47161.5176084914,42313.9434102526,47349.43457167395,46416.2309939824,46182.9558179504,45809.59091120321,45343.52312500001,45725.64145615471,46097.25281508756,45977.54416744464
102,46371.0417678499,45455.633305268624,46118.7085175882,41762.71037401,46285.68145917279,45413.4873925148,45298.02623398887,45134.14472335206,45090.07062500001,45414.494656612966,46287.2746150128,46305.34849267341
103,40805.2125399834,40155.82008243233,40638.2533964737,40805.2125399834,40755.148391066185,40618.80405285556,40158.87283832608,41939.87388300058,41399.114166666666,41813.00405566913,40642.30929599684,40199.97521399197
104,38098.5678181756,37458.17193013879,37888.8441804864,38043.9470506607,37891.05200683328,37778.07970534336,37820.19365770424,40245.22342698566,37339.96,37174.64746724659,38339.32822632076,38085.04881591373
105,44744.5168776403,44075.127463860816,44700.3450310907,37281.9088613065,44220.10414163934,42997.0084834034,44211.409414890346,43661.21403176068,43654.29604166668,44288.67066746906,43933.410820325495,43680.26334441194
106,45998.6412919433,45035.66888446151,45838.942950086,40347.2277589626,45815.26293023599,44857.2488976745,45086.95233308969,42074.0980103171,43471.03145833335,43995.275212790286,44504.9803123429,44417.28012345498
